filename,mean_R,mean_G,mean_B,contrast_R,dissimilarity_R,homogeneity_R,energy_R,correlation_R,asm_R,entropy_R,contrast_G,dissimilarity_G,homogeneity_G,energy_G,correlation_G,asm_G,entropy_G,contrast_B,dissimilarity_B,homogeneity_B,energy_B,correlation_B,asm_B,entropy_B
Copy of 0_1757436108_0_1_0.jpg,165.90408854166665,165.90408854166665,165.90408854166665,0.3786637147996228,0.31052495346411574,0.851383235083475,0.224415342169611,0.9803911588225649,0.05046347836429097,19.178828294200155,0.3786637147996228,0.31052495346411574,0.851383235083475,0.224415342169611,0.9803911588225649,0.05046347836429097,19.178828294200155,0.3786637147996228,0.31052495346411574,0.851383235083475,0.224415342169611,0.9803911588225649,0.05046347836429097,19.178828294200155
Copy of 0_1757436103_0_1_0.jpg,167.00027669270833,167.00027669270833,167.00027669270833,0.3860377632371004,0.31466350555149875,0.8496114682785346,0.22290426090059548,0.9805627614403586,0.04978613630169498,19.2794807172938,0.3860377632371004,0.31466350555149875,0.8496114682785346,0.22290426090059548,0.9805627614403586,0.04978613630169498,19.2794807172938,0.3860377632371004,0.31466350555149875,0.8496114682785346,0.22290426090059548,0.9805627614403586,0.04978613630169498,19.2794807172938
Copy of 0_1757436111_0_1_0.jpg,167.788232421875,167.788232421875,167.788232421875,0.37361759853464727,0.30398402591280305,0.8547670123763619,0.2259673714054934,0.9809185102825457,0.05115608051074856,19.12577485477876,0.37361759853464727,0.30398402591280305,0.8547670123763619,0.2259673714054934,0.9809185102825457,0.05115608051074856,19.12577485477876,0.37361759853464727,0.30398402591280305,0.8547670123763619,0.2259673714054934,0.9809185102825457,0.05115608051074856,19.12577485477876
Copy of 0_1757436106_0_1_0.jpg,166.356240234375,166.356240234375,166.356240234375,0.38287215366738425,0.3132451458927539,0.8501611612204192,0.2240528519667374,0.9802183789004824,0.05030131284870963,19.21185618716408,0.38287215366738425,0.3132451458927539,0.8501611612204192,0.2240528519667374,0.9802183789004824,0.05030131284870963,19.21185618716408,0.38287215366738425,0.3132451458927539,0.8501611612204192,0.2240528519667374,0.9802183789004824,0.05030131284870963,19.21185618716408
Copy of 0_1757436104_0_1_0.jpg,167.48791015625,167.48791015625,167.48791015625,0.3697087901500473,0.30394108895330535,0.854452516083522,0.22628535804507757,0.9809515910746073,0.05130396277518935,19.10485362064395,0.3697087901500473,0.30394108895330535,0.854452516083522,0.22628535804507757,0.9809515910746073,0.05130396277518935,19.10485362064395,0.3697087901500473,0.30394108895330535,0.854452516083522,0.22628535804507757,0.9809515910746073,0.05130396277518935,19.10485362064395
Copy of 0_1757436109_0_1_0.jpg,167.58201822916666,167.58201822916666,167.58201822916666,0.37410575524738543,0.30705636037043027,0.85302996485153,0.22536433858017496,0.9807083351424275,0.05088488151551272,19.152159209489255,0.37410575524738543,0.30705636037043027,0.85302996485153,0.22536433858017496,0.9807083351424275,0.05088488151551272,19.152159209489255,0.37410575524738543,0.30705636037043027,0.85302996485153,0.22536433858017496,0.9807083351424275,0.05088488151551272,19.152159209489255
Copy of 0_1757436107_0_1_0.jpg,167.66078776041667,167.66078776041667,167.66078776041667,0.3748159541340091,0.30598752139616087,0.8537124677608067,0.22590755371511476,0.980728787146921,0.05113128546480594,19.134840736285486,0.3748159541340091,0.30598752139616087,0.8537124677608067,0.22590755371511476,0.980728787146921,0.05113128546480594,19.134840736285486,0.3748159541340091,0.30598752139616087,0.8537124677608067,0.22590755371511476,0.980728787146921,0.05113128546480594,19.134840736285486
Copy of 0_1757436086_0_1_0.jpg,165.724384765625,165.724384765625,165.724384765625,0.3710791654210815,0.3046355061718412,0.8541363089659115,0.22591095321708532,0.9808658286109113,0.05113416694543137,19.112349454542507,0.3710791654210815,0.3046355061718412,0.8541363089659115,0.22591095321708532,0.9808658286109113,0.05113416694543137,19.112349454542507,0.3710791654210815,0.3046355061718412,0.8541363089659115,0.22591095321708532,0.9808658286109113,0.05113416694543137,19.112349454542507
Copy of 0_1757436089_0_1_0.jpg,165.74565755208334,165.74565755208334,165.74565755208334,0.3818994059851259,0.3109306169499795,0.8514371197018902,0.2253338405700541,0.9801868300238283,0.050875964324112455,19.167206302150102,0.3818994059851259,0.3109306169499795,0.8514371197018902,0.2253338405700541,0.9801868300238283,0.050875964324112455,19.167206302150102,0.3818994059851259,0.3109306169499795,0.8514371197018902,0.2253338405700541,0.9801868300238283,0.050875964324112455,19.167206302150102
Copy of 0_1757436094_0_1_0.jpg,166.88298502604167,166.88298502604167,166.88298502604167,0.37846712076759614,0.30892967517176806,0.8522732281244121,0.22586394154192752,0.9803085803018741,0.05111510839470699,19.132088632100693,0.37846712076759614,0.30892967517176806,0.8522732281244121,0.22586394154192752,0.9803085803018741,0.05111510839470699,19.132088632100693,0.37846712076759614,0.30892967517176806,0.8522732281244121,0.22586394154192752,0.9803085803018741,0.05111510839470699,19.132088632100693
